tfopwg_disp,,ra,,dec,pl_orbper,,,,pl_trandurh,,,,pl_trandep,,,,pl_rade,,,,pl_insol,,,,pl_eqt,,,,st_teff,,,,st_rad
CANDIDATE,,112.917053,,-15.102276,3.8618241,,,,3.1764029,,,,823.5651883,,,,13.3017642,,,,11855.22923,,,,3713.234811,,,,11396,,,,4.73061
FALSE POSITIVE,,342.443925,,68.251071,2.3866952,,,,2.654,,,,586,,,,9.72386,,,,2334.78,,,,1936,,,,5017,,,,4.73
FALSE POSITIVE,,22.972973,,46.399826,7.57193,,,,2.656,,,,420,,,,10.2119,,,,795.635,,,,1479,,,,9146,,,,4.72
CANDIDATE,,79.413022,,17.714524,3.2104815,,,,1.693,,,,1600,,,,20.5754,,,,2847.04,,,,2035,,,,9124,,,,4.71
CANDIDATE,,0.202398,,62.803046,2.2774846,,,,3.756,,,,1520,,,,17.7506,,,,1146.77,,,,1621,,,,4827,,,,4.7
FALSE POSITIVE,,304.452849,,-44.968454,1.79217,,,,1.797,,,,1710,,,,21.4342,,,,436.663,,,,1273,,,,4884,,,,4.7
CANDIDATE,,281.70848,,12.554509,2.8637988,,,,2.746,,,,266,,,,7.75857,,,,6505.86,,,,2502,,,,9416,,,,4.62
FALSE POSITIVE,,4.249336,,58.679253,3.77188,,,,2.923,,,,450,,,,10.0329,,,,5181.65,,,,2363,,,,10097,,,,4.62
CANDIDATE,,316.568639,,48.795529,3.648769,,,,2.156,,,,1202,,,,15.7865,,,,162.493,,,,994,,,,4939,,,,4.61
CANDIDATE,,197.579939,,-48.908885,2.0084283,,,,2.6,,,,1310,,,,16.5313,,,,1608.42,,,,1764,,,,5438.8,,,,4.54
FALSE POSITIVE,,113.103262,,-38.574805,0.845657,,,,1.824,,,,390,,,,8.90314,,,,2301.5,,,,1929,,,,4969.9,,,,4.52
CANDIDATE,,143.466387,,-53.561643,3.1056464,,,,1.772,,,,800,,,,13.2277,,,,949.504,,,,1546,,,,7804.8,,,,4.44
FALSE POSITIVE,,239.561368,,-65.084504,1.491916,,,,2.3336552,,,,1474.334788,,,,26.399811,,,,132008.3553,,,,4861.497924,,,,9747,,,,4.42729
FALSE POSITIVE,,56.143332,,41.064351,1.51233,,,,2.59,,,,640,,,,11.1245,,,,18303,,,,3240,,,,9447,,,,4.35
CANDIDATE,,189.518268,,3.282395,6.8291029,,,,9.8781473,,,,815.4832965,,,,12.9127343,,,,14489.49967,,,,2798.227993,,,,9333,,,,4.3379302
CANDIDATE,,77.00647,,31.898377,1.4466879,,,,0.952,,,,690,,,,12.418,,,,600.438,,,,1379,,,,6332,,,,4.28
FALSE POSITIVE,,6.519425,,63.319412,0.88654,,,,1.679,,,,870,,,,24.9348,,,,64431.5,,,,4438,,,,6919,,,,4.27
FALSE POSITIVE,,127.128062,,-28.359254,3.7442007,,,,3.5004762,,,,803.2627817,,,,18.117379,,,,38392.1563,,,,3570.099957,,,,9988,,,,4.23822
CANDIDATE,,134.371324,,-52.039581,1.0886286,,,,2.4298631,,,,412.1764427,,,,8.7147619,,,,47343.51059,,,,3762.139232,,,,6127,,,,4.2160501
CANDIDATE,,127.128017,,-74.954728,2.3922703,,,,9.0053425,,,,63.575141,,,,3.5905923,,,,18015.5142,,,,2954.822621,,,,6090,,,,4.1956
CANDIDATE,,54.308702,,-44.472006,4.90038,,,,3.506,,,,240,,,,6.56819,,,,736.282,,,,1451,,,,6504,,,,4.18
FALSE POSITIVE,,123.581899,,-34.819322,8.4915117,,,,6.035,,,,40640,,,,87.0155,,,,2278.83,,,,1924,,,,9365,,,,4.18
CANDIDATE,,135.297462,,55.85994,2.7552586,,,,1.17,,,,338,,,,9.65945,,,,799.261,,,,1481,,,,6096.4,,,,4.17
FALSE POSITIVE,,125.645029,,-19.254613,15.3050693,,,,3.872,,,,770,,,,10.4166,,,,340.827,,,,1197,,,,5370,,,,4.16
FALSE POSITIVE,,13.27005,,60.618112,2.2657506,,,,3.419,,,,388,,,,8.00485,,,,18671.1,,,,3256,,,,10125,,,,4.14
FALSE POSITIVE,,349.796329,,75.017864,0.7438074,,,,1.377,,,,633,,,,9.77911,,,,1705.03,,,,1790,,,,5182,,,,4.04
FALSE POSITIVE,,336.705071,,52.227842,2.1853174,,,,1.656,,,,1168,,,,14.8742,,,,2412.11,,,,1952,,,,8332,,,,4.02
