tfopwg_disp,,ra,,dec,pl_orbper,,,,pl_trandurh,,,,pl_trandep,,,,pl_rade,,,,pl_insol,,,,pl_eqt,,,,st_teff,,,,st_rad
CANDIDATE,,135.139415,,49.451496,13.62636,,,,3.245,,,,14390,,,,10.048,,,,26.6947,,,,633,,,,5260.6,,,,0.81
CANDIDATE,,30.183054,,20.023188,11.2036244,,,,3.039,,,,5580,,,,6.17248,,,,19.2497,,,,583,,,,4329.8,,,,0.81
CANDIDATE,,32.249191,,8.057199,4.2417694,,,,1.832,,,,18430,,,,11.5903,,,,67.8153,,,,799,,,,4794,,,,0.81
FALSE POSITIVE,,77.394839,,24.324493,1.4920726,,,,1.594,,,,907,,,,2.23482,,,,654.339,,,,1409,,,,5125,,,,0.81
CANDIDATE,,111.14992,,-48.619915,19.0286016,,,,3.938,,,,8910,,,,8.13514,,,,13.7261,,,,536,,,,4733,,,,0.81
CANDIDATE,,286.720557,,81.654539,3.7453991,,,,3.327,,,,1390,,,,3.17171,,,,428.765,,,,1267,,,,5133,,,,0.81
CANDIDATE,,205.488716,,17.300066,2.2012625,,,,2.175,,,,25690,,,,13.6145,,,,387.574,,,,1236,,,,5177.8,,,,0.81
CANDIDATE,,54.214981,,44.769846,0.8746494,,,,1.576,,,,1910,,,,3.71319,,,,1522.95,,,,1740,,,,4977.4,,,,0.81
FALSE POSITIVE,,306.256232,,46.923098,1.3298469,,,,3.007,,,,2190,,,,6.98364,,,,32313,,,,3735,,,,5791.1,,,,0.81
FALSE POSITIVE,,298.561279,,32.425717,1.7561019,,,,2.858,,,,11010,,,,8.43478,,,,1012.39,,,,1571,,,,4896,,,,0.81
CANDIDATE,,118.569306,,-65.441482,17.6174652,,,,3.615,,,,722,,,,2.01411,,,,23.0207,,,,610,,,,5250,,,,0.81
FALSE POSITIVE,,102.412686,,-0.495979,3.7804749,,,,3.615,,,,22150,,,,17.9247,,,,835.088,,,,1497,,,,5112,,,,0.81
CANDIDATE,,104.240485,,-16.746469,4.5302876,,,,2.713,,,,22840,,,,12.3919,,,,98.5409,,,,877,,,,4693,,,,0.81
CANDIDATE,,100.613362,,6.816715,7.4710819,,,,2.511,,,,24880,,,,12.8097,,,,50.0778,,,,741,,,,5262,,,,0.81
CANDIDATE,,178.890769,,-10.029102,3.4977868,,,,2.236,,,,1790,,,,3.47575,,,,248.389,,,,1105,,,,5356,,,,0.81
FALSE POSITIVE,,304.444709,,77.166678,1.5873866,,,,1.51,,,,110,,,,1.09083,,,,466.553,,,,1294,,,,5028,,,,0.81
CANDIDATE,,188.922358,,27.214377,3.7130701,,,,1.654,,,,19610,,,,11.7215,,,,55.9743,,,,762,,,,4719,,,,0.81
CANDIDATE,,354.741581,,75.685232,20.7051499,,,,3.348,,,,1822,,,,3.39245,,,,13.1989,,,,531,,,,5169,,,,0.81
CANDIDATE,,199.196204,,49.861059,3.3159772,,,,1.494,,,,2770,,,,4.5947,,,,120.595,,,,923,,,,4972.7,,,,0.81
CANDIDATE,,65.717639,,-12.677035,1.7556616,,,,1.3491032,,,,444.0879481,,,,1.7738475,,,,486.2678796,,,,1197.674065,,,,4909,,,,0.808741
CANDIDATE,,31.617523,,-56.19888,3.4972769,,,,2.0988025,,,,17834.08241,,,,11.5840209,,,,192.6704823,,,,950.2186404,,,,4940,,,,0.80797
CANDIDATE,,253.442793,,65.293961,6.7060238,,,,1.6782365,,,,542.9365808,,,,2.12647,,,,100.7791488,,,,808.0950027,,,,5292,,,,0.807811
CANDIDATE,,335.057616,,-13.114772,5.8767209,,,,2.4735452,,,,10167.39867,,,,8.0213924,,,,55.07609,,,,694.8011438,,,,4111,,,,0.807445
FALSE POSITIVE,,130.505379,,-75.801869,0.5417947,,,,1.1716379,,,,537.9244902,,,,2.8738733,,,,2690.415312,,,,1836.853758,,,,5181,,,,0.807298
CANDIDATE,,352.172541,,-34.49141,4.5320502,,,,2.3754425,,,,7874.585279,,,,7.0590799,,,,123.9023995,,,,850.9218562,,,,4983,,,,0.805573
CANDIDATE,,355.911751,,-11.272631,1.631858,,,,1.8201336,,,,17812.02198,,,,11.400179,,,,489.1342881,,,,1199.435163,,,,4778,,,,0.805143
CANDIDATE,,44.262014,,-56.191869,4.1374379,,,,1.8454937,,,,1125.535465,,,,2.6757659,,,,168.3361754,,,,918.6796864,,,,5058,,,,0.802633
CANDIDATE,,73.980013,,-63.26033,17.3890454,,,,2.6516541,,,,2971.753227,,,,6.4840125,,,,23.8921547,,,,563.8759593,,,,5025.77,,,,0.801736
CANDIDATE,,73.980013,,-63.26033,34.5059318,,,,3.8206653,,,,17387.98342,,,,10.4625162,,,,9.5814512,,,,448.7222169,,,,5025.77,,,,0.801736
CANDIDATE,,250.298493,,38.961556,5.5679111,,,,2.4294368,,,,12867.44568,,,,9.5108395,,,,100.8499947,,,,808.2369842,,,,4887,,,,0.801525
CANDIDATE,,125.806237,,-45.792458,3.1527177,,,,1.8963737,,,,4102.696816,,,,5.7168495,,,,316.3922274,,,,1075.662928,,,,5093,,,,0.800841
CANDIDATE,,357.409571,,11.091788,17.3986129,,,,3.485,,,,2584,,,,3.8996,,,,29.3479,,,,648,,,,5589,,,,0.8
CANDIDATE,,308.646655,,27.357715,11.5588657,,,,2.368,,,,4691,,,,5.14186,,,,19.016,,,,581,,,,5029,,,,0.8
CANDIDATE,,278.41157,,-35.348041,7.3120981,,,,1.428,,,,1655,,,,3.45268,,,,58.7812,,,,771,,,,5159,,,,0.8
CANDIDATE,,164.296604,,-27.523698,1484.193429,,,,3.05,,,,13469,,,,8.94439,,,,0.002443,,,,61,,,,5602,,,,0.8
CANDIDATE,,160.602735,,-30.249932,5.267165,,,,1.743,,,,5142,,,,6.02919,,,,48.3829,,,,734,,,,4930,,,,0.8
CANDIDATE,,2.732086,,78.899729,25.8866192,,,,3.737,,,,13915,,,,11.2641,,,,14.5766,,,,544,,,,5326,,,,0.8
CANDIDATE,,343.883119,,22.563967,2.1350899,,,,1.997,,,,22574,,,,12.6797,,,,280.388,,,,1140,,,,4894,,,,0.8
CANDIDATE,,100.766731,,-44.251859,2.1613171,,,,1.289,,,,529,,,,1.86733,,,,329.608,,,,1187,,,,5260,,,,0.8
CANDIDATE,,269.207527,,39.223388,24.0004143,,,,3.138,,,,1240,,,,2.83659,,,,6.01946,,,,436,,,,4579,,,,0.8
CANDIDATE,,243.86183,,64.588731,45.0854117,,,,1.646,,,,7870,,,,7.92062,,,,0.746125,,,,258,,,,5013,,,,0.8
CANDIDATE,,164.375996,,12.535614,3.4355113,,,,2.11,,,,2580,,,,4.18368,,,,146.577,,,,969,,,,4870,,,,0.8
CANDIDATE,,124.904596,,-43.057211,1.5889429,,,,1.183,,,,22530,,,,14.0293,,,,399.352,,,,1245,,,,5150,,,,0.8
CANDIDATE,,18.090518,,13.75508,9.7607632,,,,1.967,,,,790,,,,2.22799,,,,30.3621,,,,653,,,,5558,,,,0.8
CANDIDATE,,109.815227,,-80.473777,1.1771655,,,,1.048,,,,1050,,,,2.93951,,,,695.522,,,,1430,,,,5313,,,,0.8
CANDIDATE,,228.833287,,40.267196,3.8960617,,,,1.734,,,,22610,,,,12.1401,,,,84.8919,,,,845,,,,5247,,,,0.8
CANDIDATE,,184.759891,,36.609641,5.3298577,,,,1.95,,,,9330,,,,8.01139,,,,46.3832,,,,727,,,,4773,,,,0.8
CANDIDATE,,89.243696,,36.358115,1.5224706,,,,1.3423331,,,,8545.454271,,,,7.53174,,,,633.3271919,,,,1279.460207,,,,4654.3,,,,0.8
CANDIDATE,,15.654394,,51.303892,9.0881638,,,,3.402,,,,24660,,,,12.8974,,,,57.0645,,,,765,,,,5211,,,,0.8
FALSE POSITIVE,,301.078777,,34.398008,3.3418892,,,,2.084,,,,24860,,,,13.4003,,,,123.578,,,,928,,,,4874,,,,0.8
CANDIDATE,,74.431769,,-47.021434,2.4756487,,,,2.461,,,,4370,,,,5.25914,,,,321.692,,,,1179,,,,4633,,,,0.8
FALSE POSITIVE,,39.725259,,-27.324227,25.86696,,,,4.923,,,,2240,,,,7.41184,,,,100.989,,,,883,,,,5095,,,,0.8
CANDIDATE,,319.498241,,-22.049823,4.31362,,,,1.709,,,,9490,,,,8.01917,,,,54.2011,,,,755,,,,4929.5,,,,0.8
CANDIDATE,,99.458741,,-70.931327,9.695961,,,,2.772,,,,122,,,,0.808552,,,,66.2914,,,,794,,,,5346.2,,,,0.8
CANDIDATE,,99.458741,,-70.931327,18.5537012,,,,3.438,,,,448,,,,1.57606,,,,25.0891,,,,623,,,,5346.2,,,,0.8
CANDIDATE,,254.816154,,65.747438,19.3203478,,,,4.215,,,,13910,,,,9.38964,,,,13.544,,,,534,,,,4968.1,,,,0.8
CANDIDATE,,328.718171,,-77.338802,6.441006,,,,1.812,,,,914,,,,2.56374,,,,87.8902,,,,853,,,,4867,,,,0.8
CANDIDATE,,344.907267,,36.517666,4.8962484,,,,2.362418,,,,1186.028993,,,,3.5246468,,,,95.080851,,,,796.4215716,,,,4528.99,,,,0.799965
CANDIDATE,,239.016918,,73.07392,20.2926468,,,,3.7402567,,,,319.9395199,,,,1.7004976,,,,17.826244,,,,524.0644631,,,,4884,,,,0.799716
CANDIDATE,,239.016918,,73.07392,2.6620728,,,,1.7235054,,,,220.9994213,,,,1.2172175,,,,267.4349792,,,,1031.393291,,,,4884,,,,0.799716
CANDIDATE,,245.55467,,63.71758,3.3795099,,,,2.7055281,,,,18575.23435,,,,10.862172,,,,235.0109316,,,,998.6004687,,,,5203,,,,0.799465
CANDIDATE,,150.602674,,34.658047,28.4064643,,,,4.0008805,,,,886.162065,,,,2.5276328,,,,15.3546861,,,,504.8704882,,,,5415,,,,0.797844
CANDIDATE,,297.416187,,68.883354,15.4432661,,,,3.8493075,,,,4652.019556,,,,5.7063938,,,,38.3407878,,,,634.6510571,,,,5607,,,,0.796892
CANDIDATE,,297.416187,,68.883354,4.8566656,,,,2.585881,,,,1163.841609,,,,3.2987328,,,,179.2788125,,,,933.2585799,,,,5607,,,,0.796892
CANDIDATE,,144.319335,,-84.696258,39.1076478,,,,9.0245368,,,,337.4561615,,,,1.4669377,,,,10.4193507,,,,458.2261962,,,,5490,,,,0.796293
CANDIDATE,,233.47988,,64.647463,61.3191144,,,,5.7455309,,,,6593.138219,,,,6.3907079,,,,4.1256508,,,,363.4903344,,,,4911,,,,0.795305
CANDIDATE,,5.165323,,-33.984476,1837.889731,,,,5.1231542,,,,784.5879336,,,,2.231604,,,,22.7830749,,,,557.2150449,,,,5256,,,,0.795285
CANDIDATE,,64.183998,,-26.766407,17.9635083,,,,4.4297958,,,,1266.94519,,,,3.2970197,,,,23.4693523,,,,561.3646044,,,,5229,,,,0.794471
CANDIDATE,,159.157968,,-64.798231,2.8618782,,,,2.2839791,,,,2450.989996,,,,3.9033641,,,,220.0858555,,,,982.3534679,,,,4743,,,,0.793587
CANDIDATE,,230.555493,,-83.056214,10.0665238,,,,2.4023189,,,,839.9044871,,,,2.7272824,,,,54.8791715,,,,694.1792631,,,,5552,,,,0.791742
CANDIDATE,,293.764805,,66.25505,31.4001189,,,,2.545496,,,,15097.0641,,,,10.2456091,,,,10.156754,,,,455.3113573,,,,4953,,,,0.791713
CANDIDATE,,290.738474,,59.431202,17.7046155,,,,4.2555427,,,,1283.705832,,,,2.8587599,,,,27.963637,,,,586.5001986,,,,5388,,,,0.791536
FALSE POSITIVE,,297.393769,,66.293958,1.7890217,,,,1.9190564,,,,391.6251669,,,,1.6741803,,,,554.8261181,,,,1237.824214,,,,5264,,,,0.791524
FALSE POSITIVE,,93.122299,,-16.792043,4.99915,,,,5.256,,,,684.271,,,,2.28122,,,,386.241,,,,1235,,,,4696,,,,0.79
CANDIDATE,,323.284714,,-29.117607,6.6210878,,,,2.297,,,,13071,,,,9.48332,,,,43.2116,,,,714,,,,4790,,,,0.79
FALSE POSITIVE,,355.540075,,31.793315,9.7712443,,,,3.956,,,,34227,,,,15.2558,,,,104.782,,,,891,,,,5294,,,,0.79
CANDIDATE,,356.545953,,17.020672,2.301919,,,,1.614,,,,22440,,,,12.3642,,,,129.797,,,,940,,,,4654,,,,0.79
CANDIDATE,,122.034347,,-28.066189,3.1471655,,,,3.402,,,,1440,,,,5.30134,,,,3942.66,,,,2207,,,,4869,,,,0.79
CANDIDATE,,0.223191,,35.752445,1.2757761,,,,1.313,,,,230,,,,1.28307,,,,357.418,,,,1211,,,,4540.4,,,,0.79
CANDIDATE,,160.866036,,3.9587,11.1064221,,,,2.12,,,,15290,,,,10.19,,,,20.7088,,,,594,,,,5190.5,,,,0.79
CANDIDATE,,260.575023,,72.645373,2.7708596,,,,2.17,,,,22640,,,,12.2577,,,,208.594,,,,1058,,,,4975,,,,0.79
FALSE POSITIVE,,279.146891,,16.45244,3.7006742,,,,3.115,,,,840,,,,2.61277,,,,1434.65,,,,1714,,,,5025,,,,0.79
CANDIDATE,,268.045217,,58.366826,4.1915095,,,,3.187,,,,900,,,,2.33252,,,,270.353,,,,1129,,,,4996,,,,0.79
FALSE POSITIVE,,30.021663,,77.369001,3.6841446,,,,2.967,,,,2260,,,,3.74263,,,,286.262,,,,1145,,,,4939,,,,0.79
CANDIDATE,,283.889684,,71.400671,22.1575175,,,,3.374,,,,837,,,,2.17495,,,,12.4497,,,,523,,,,5174,,,,0.79
CANDIDATE,,290.738474,,59.431202,10.4722034,,,,3.282,,,,1769,,,,3.13882,,,,59.5148,,,,773,,,,5388,,,,0.79
CANDIDATE,,203.567211,,65.128389,18.565813,,,,3.82,,,,9420,,,,7.83236,,,,13.8526,,,,537,,,,4671,,,,0.79
CANDIDATE,,339.02584,,-17.000305,7.327945,,,,2.896,,,,13710,,,,9.49027,,,,39.3409,,,,697,,,,4521,,,,0.79
CANDIDATE,,116.213624,,-59.551153,14.9502738,,,,4.464,,,,8070,,,,15.1651,,,,135.41,,,,950,,,,5068,,,,0.79
CANDIDATE,,90.984276,,-60.666335,39.361947,,,,4.535,,,,552,,,,1.84555,,,,22.4437,,,,606,,,,5245,,,,0.79
CANDIDATE,,90.984276,,-60.666335,4.5117221,,,,1.785,,,,313,,,,1.40246,,,,86.7681,,,,850,,,,5245,,,,0.79
FALSE POSITIVE,,75.439417,,-49.284463,0.6293198,,,,1.129,,,,3730,,,,4.46635,,,,2516.29,,,,1973,,,,5508,,,,0.79
CANDIDATE,,54.408387,,-70.330657,12.4724734,,,,3.649,,,,23020,,,,12.11,,,,30.1565,,,,652,,,,4966,,,,0.79
CANDIDATE,,255.245795,,45.386283,3.1434463,,,,1.501,,,,803,,,,2.34132,,,,301.599,,,,1160,,,,4962,,,,0.79
FALSE POSITIVE,,66.370139,,46.365902,5.6309047,,,,3.877,,,,1683,,,,7.00844,,,,2320.13,,,,1933,,,,5304,,,,0.79
FALSE POSITIVE,,83.349121,,-58.745093,1.59782,,,,1.49,,,,1713.69,,,,3.59995,,,,955.676,,,,1548,,,,5037.6,,,,0.79
FALSE POSITIVE,,343.635061,,54.161814,2.7260173,,,,2.703,,,,1165,,,,4.98036,,,,4788.29,,,,2317,,,,5256,,,,0.79
CANDIDATE,,217.6092,,-46.159516,1.0115336,,,,1.6201453,,,,640.6892788,,,,2.3332033,,,,871.7333843,,,,1385.848223,,,,4775,,,,0.789877
CANDIDATE,,14.714189,,-36.688474,10.3688702,,,,2.4885919,,,,15543.59491,,,,9.6582457,,,,32.4178069,,,,608.5771715,,,,4463,,,,0.789514
CANDIDATE,,158.011286,,84.030377,12.6396982,,,,3.3830702,,,,3292.681286,,,,4.6025162,,,,39.6563977,,,,640.0266601,,,,5217,,,,0.789425
CANDIDATE,,197.361763,,-81.962957,2.6060495,,,,1.6531467,,,,7607.398609,,,,6.7707607,,,,205.1810486,,,,965.2816733,,,,4471,,,,0.78826
CANDIDATE,,246.952745,,69.781491,1.689442,,,,1.3359142,,,,318.7756761,,,,1.3821489,,,,386.3588109,,,,1130.752235,,,,4552,,,,0.788247
CANDIDATE,,203.195141,,84.514705,25.9213509,,,,2.1208392,,,,589.3171527,,,,1.9119702,,,,13.4574783,,,,488.4956168,,,,5011,,,,0.786678
CANDIDATE,,322.602368,,34.739581,4.4178042,,,,2.5881434,,,,6790.168206,,,,6.4020317,,,,130.1481354,,,,861.4483375,,,,4864,,,,0.785799
CANDIDATE,,211.093937,,46.519283,0.4378083,,,,1.1404291,,,,290.8856184,,,,1.374002,,,,3369.460523,,,,1943.165731,,,,5165.2,,,,0.784618
CANDIDATE,,211.093937,,46.519283,8.0214735,,,,3.2087652,,,,882.3089291,,,,2.3381058,,,,69.7589934,,,,737.0887807,,,,5165.2,,,,0.784618
CANDIDATE,,256.622675,,68.843303,5.5025577,,,,3.1711008,,,,844.7022676,,,,2.7049797,,,,102.6644008,,,,811.847988,,,,4965,,,,0.784109
CANDIDATE,,91.29081,,6.447685,13.62285,,,,3.033501,,,,804.4319022,,,,2.0757294,,,,465.348816,,,,1293.935991,,,,5343,,,,0.782043
CANDIDATE,,343.851366,,64.445455,3.1467998,,,,2.128,,,,1939,,,,4.88984,,,,1907.06,,,,1841,,,,5525,,,,0.78
CANDIDATE,,358.147057,,37.52044,0.3489261,,,,0.31,,,,1107,,,,5.03606,,,,1715.88,,,,1793,,,,5086.7,,,,0.78
CANDIDATE,,175.578807,,-0.699336,719.5740937,,,,2.942,,,,19525,,,,10.9394,,,,0.0051995,,,,74,,,,4854,,,,0.78
FALSE POSITIVE,,147.005591,,-48.320751,1.66402,,,,3.397,,,,7964.45,,,,7.65443,,,,8754.73,,,,2694,,,,4841.3,,,,0.78
CANDIDATE,,109.322945,,-54.117193,18.2457829,,,,3.64,,,,3157,,,,3.87217,,,,18.6783,,,,579,,,,5057,,,,0.78
CANDIDATE,,110.301146,,-49.134858,5.2076995,,,,0.887,,,,4315,,,,6.02778,,,,17.5447,,,,570,,,,4961,,,,0.78
CANDIDATE,,36.235853,,52.415794,1.7555108,,,,1.355,,,,13415,,,,10.7893,,,,117.332,,,,916,,,,4249,,,,0.78
CANDIDATE,,321.721228,,53.639816,3.3751374,,,,1.851,,,,172,,,,0.974713,,,,178.535,,,,1018,,,,4996,,,,0.78
CANDIDATE,,321.721228,,53.639816,1.8826035,,,,1.712,,,,337,,,,1.40901,,,,387.637,,,,1236,,,,4996,,,,0.78
CANDIDATE,,294.34447,,6.680285,3.5242025,,,,1.79,,,,23590,,,,12.31,,,,60.7404,,,,777,,,,4485,,,,0.78
CANDIDATE,,110.689677,,37.667511,1.2749899,,,,1.146,,,,1140,,,,2.69399,,,,201.011,,,,1048,,,,4216.7,,,,0.78
CANDIDATE,,224.001903,,-59.642969,8.0176705,,,,2.714,,,,12290,,,,8.9733,,,,26.1122,,,,629,,,,4353,,,,0.78
CANDIDATE,,239.672825,,-27.431264,3.5569996,,,,1.985,,,,18990,,,,10.8822,,,,68.3964,,,,801,,,,4440,,,,0.78
CANDIDATE,,135.455975,,0.969613,2.7765784,,,,2.076,,,,5710,,,,6.07883,,,,130.312,,,,941,,,,4348.2,,,,0.78
CANDIDATE,,318.356223,,-73.064186,20.5020769,,,,7.382,,,,17680,,,,11.7145,,,,66.4002,,,,795,,,,4511,,,,0.78
FALSE POSITIVE,,209.183512,,-35.292443,4.3622356,,,,2.645,,,,18670,,,,11.0608,,,,89.5299,,,,856,,,,4486,,,,0.78
CANDIDATE,,354.668284,,-32.860745,10.18108,,,,3.674,,,,1190,,,,2.66019,,,,57.0026,,,,765,,,,4822,,,,0.78
FALSE POSITIVE,,84.254356,,-66.790853,1.3090665,,,,2.844,,,,209,,,,0.97952,,,,2194.21,,,,1906,,,,4779.8,,,,0.78
CANDIDATE,,19.130697,,-0.290103,50.6939885,,,,4.068,,,,11200,,,,8.48837,,,,2.93192,,,,364,,,,5216,,,,0.78
CANDIDATE,,267.307163,,54.415932,49.9950015,,,,5.109,,,,1080,,,,2.65286,,,,5.92112,,,,434,,,,5274.27,,,,0.78
CANDIDATE,,256.662266,,63.778635,4.1508569,,,,2.19,,,,8700,,,,7.61178,,,,81.7443,,,,837,,,,4652,,,,0.78
CANDIDATE,,240.172481,,83.258659,8.3033493,,,,1.705,,,,571,,,,1.95844,,,,36.5628,,,,685,,,,4814,,,,0.78
CANDIDATE,,325.201645,,84.333761,16.2016817,,,,2.792,,,,885,,,,2.38101,,,,28.0911,,,,641,,,,5071,,,,0.78
CANDIDATE,,300.615453,,53.377442,7.4341456,,,,2.424,,,,701,,,,1.97737,,,,48.0098,,,,733,,,,5064,,,,0.78
CANDIDATE,,72.799607,,50.097926,8.9299483,,,,3.2002668,,,,26516.40162,,,,12.6566078,,,,36.0859625,,,,625.1069435,,,,4379,,,,0.777586
CANDIDATE,,272.264241,,53.217729,20.0795217,,,,1.2186554,,,,1065.535571,,,,2.7170462,,,,15.8594327,,,,508.9693869,,,,4763,,,,0.777584
CANDIDATE,,77.952525,,6.795745,17.8832414,,,,4.3420932,,,,6750.487878,,,,6.4171164,,,,27.1279511,,,,582.0683673,,,,5426,,,,0.776644
CANDIDATE,,355.015732,,-53.039017,3.7463765,,,,1.9560091,,,,18855.63369,,,,10.6334288,,,,142.42552,,,,881.0827589,,,,4696,,,,0.775888
CANDIDATE,,8.20273,,-32.059418,2.7723915,,,,1.8223369,,,,5882.019435,,,,6.3703129,,,,193.9128694,,,,951.7467616,,,,4558,,,,0.775641
CANDIDATE,,238.153554,,66.873296,2.4157665,,,,2.1700812,,,,242.4992335,,,,1.5356382,,,,278.2134769,,,,1041.631945,,,,4837,,,,0.774575
CANDIDATE,,268.693501,,55.064224,26.7159918,,,,4.7591848,,,,1252.007124,,,,2.7358038,,,,10.605918,,,,460.2637972,,,,4741.1,,,,0.773317
CANDIDATE,,217.392016,,39.790399,10.3563596,,,,3.4814933,,,,923.942127,,,,2.4103206,,,,48.1191014,,,,671.7367777,,,,5149.6,,,,0.772148
CANDIDATE,,92.32577,,11.411488,4.0086493,,,,2.468972,,,,9213.750642,,,,7.2935622,,,,161.1042737,,,,908.6497573,,,,4779,,,,0.77199
CANDIDATE,,25.226155,,50.300334,3.3847215,,,,3.475,,,,612,,,,3.52009,,,,7078.45,,,,2555,,,,5199,,,,0.77
CANDIDATE,,353.525853,,65.541448,0.5418555,,,,0.776,,,,120,,,,0.923696,,,,1049.31,,,,1585,,,,4954,,,,0.77
CANDIDATE,,309.05608,,22.030123,13.5647678,,,,3.17,,,,10194,,,,7.43045,,,,32.2046,,,,663,,,,5528,,,,0.77
CANDIDATE,,267.339012,,12.649502,5.7351935,,,,2.927,,,,18384,,,,9.87741,,,,108.999,,,,900,,,,5042,,,,0.77
CANDIDATE,,289.721012,,-64.249499,14.6768874,,,,2.617,,,,15152,,,,9.65258,,,,14.0749,,,,539,,,,5230,,,,0.77
CANDIDATE,,283.536275,,-36.65686,3.4268387,,,,1.288,,,,844,,,,2.12571,,,,94.0962,,,,867,,,,4794,,,,0.77
CANDIDATE,,189.630031,,-41.47389,729.9391752,,,,1.515,,,,10806,,,,15.2287,,,,7.21802,,,,456,,,,5136.9,,,,0.77
CANDIDATE,,120.784102,,-12.39842,16.1268294,,,,2.019,,,,974,,,,2.9287,,,,7.15343,,,,455,,,,4833,,,,0.77
CANDIDATE,,119.257496,,-20.463623,6.7392054,,,,0.839,,,,5180,,,,8.73795,,,,4.48575,,,,405,,,,4557,,,,0.77
CANDIDATE,,213.016047,,61.354254,3.3957241,,,,3.226,,,,1370,,,,2.79896,,,,282.135,,,,1141,,,,4479,,,,0.77
CANDIDATE,,268.693501,,55.064224,11.3630224,,,,3.031,,,,1048,,,,2.39002,,,,27.5227,,,,638,,,,4741.1,,,,0.77
CANDIDATE,,239.507231,,66.037182,9.5197732,,,,2.636,,,,2200,,,,3.89219,,,,32.9482,,,,667,,,,4541,,,,0.77
CANDIDATE,,113.595788,,17.294273,5.0280368,,,,2.161,,,,1360,,,,2.87252,,,,79.6611,,,,832,,,,4825,,,,0.77
CANDIDATE,,250.408499,,-41.58444,8.7876771,,,,2.935,,,,20650,,,,11.5115,,,,30.7909,,,,656,,,,4676,,,,0.77
CANDIDATE,,266.949667,,-62.527452,8.7042937,,,,2.726,,,,2130,,,,3.59413,,,,52.2984,,,,749,,,,5160.9,,,,0.77
CANDIDATE,,114.720385,,-37.67179,17.6868627,,,,1.379,,,,10310,,,,8.80381,,,,2.06218,,,,333,,,,4496,,,,0.77
CANDIDATE,,91.094456,,-16.340258,14.3953055,,,,2.87,,,,17315,,,,11.615,,,,23.3681,,,,612,,,,4850,,,,0.77
CANDIDATE,,23.432187,,59.425604,2.5400911,,,,1.668,,,,4260,,,,5.00683,,,,102.529,,,,886,,,,4245,,,,0.77
CANDIDATE,,201.749736,,-73.594247,6.0379203,,,,2.297,,,,469,,,,1.49811,,,,56.3052,,,,763,,,,4554,,,,0.77
CANDIDATE,,201.749736,,-73.594247,11.8413467,,,,2.865,,,,770,,,,2.20757,,,,18.0311,,,,574,,,,4554,,,,0.77
CANDIDATE,,290.856966,,-54.330649,1.5265889,,,,1.688,,,,23630,,,,12.3611,,,,391.362,,,,1239,,,,4887,,,,0.77
CANDIDATE,,171.231675,,-27.062362,3.1228396,,,,2.18,,,,28060,,,,13.4539,,,,86.7639,,,,850,,,,4262,,,,0.77
CANDIDATE,,129.080557,,-46.365534,1.7701321,,,,1.6631328,,,,49803.40824,,,,10.9547,,,,170.615878,,,,921.774333,,,,4430.1,,,,0.77
CANDIDATE,,106.841463,,-11.436773,2.0944084,,,,4.133,,,,320,,,,1.39836,,,,3407.6,,,,2128,,,,5298,,,,0.77
CANDIDATE,,59.85217,,-36.476026,1.5411764,,,,1.535,,,,1510,,,,3.17311,,,,233.78,,,,1089,,,,4307.3,,,,0.77
CANDIDATE,,349.231081,,-18.606646,1.2730965,,,,1.48,,,,414,,,,1.57925,,,,660.277,,,,1412,,,,5024,,,,0.77
CANDIDATE,,271.935501,,39.072927,95.8531625,,,,5.024,,,,5975,,,,5.95763,,,,2.69104,,,,356,,,,4406,,,,0.77
CANDIDATE,,217.392016,,39.790399,21.0153047,,,,4.315,,,,2072,,,,3.78219,,,,28.033,,,,641,,,,5149.6,,,,0.77
CANDIDATE,,5.469534,,66.168119,7.1925327,,,,2.551,,,,1180,,,,2.5719,,,,75.7071,,,,821,,,,5050,,,,0.77
CANDIDATE,,199.412592,,22.850101,2.0912089,,,,1.144,,,,20760,,,,18.3695,,,,126.014,,,,933,,,,4220.9,,,,0.77
FALSE POSITIVE,,66.221959,,-73.333516,79.3739596,,,,5.392,,,,1227,,,,2.17454,,,,3.05331,,,,368,,,,5168.33,,,,0.77
CANDIDATE,,240.301978,,68.9373,11.3373614,,,,2.8611319,,,,1194.045162,,,,2.619494,,,,33.3520232,,,,612.9150641,,,,4765,,,,0.768675
CANDIDATE,,270.73931,,60.417638,1.8318623,,,,1.4211172,,,,403.1219726,,,,1.5299007,,,,404.9227459,,,,1144.096858,,,,4837,,,,0.768226
CANDIDATE,,118.325326,,44.025016,9.5128916,,,,3.1254171,,,,1191.606744,,,,2.7531721,,,,48.3015382,,,,672.3725733,,,,4998,,,,0.767312
CANDIDATE,,284.767733,,60.154455,17.969639,,,,4.238817,,,,1231.038152,,,,3.0570342,,,,14.1574455,,,,494.7274115,,,,4410,,,,0.767286
CANDIDATE,,190.769321,,61.601738,10.5789534,,,,2.8444195,,,,1530.587817,,,,3.0009044,,,,45.8125278,,,,663.5380216,,,,5164,,,,0.765045
CANDIDATE,,282.100166,,79.256476,3.4779776,,,,2.5103489,,,,27021.69324,,,,12.5541925,,,,153.1388971,,,,897.2038496,,,,4699,,,,0.765001
CANDIDATE,,0.185606,,-54.830823,0.980972,,,,0.5405036,,,,6178.392421,,,,5.9162923,,,,719.5629045,,,,1320.951709,,,,4486,,,,0.764401
